epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1915,2.29292,3.45471,0.37157,1.36519,0.03623,3.90108,0.99506,0.92308,0.97853,0.81121,0.975,0.84615,0.845,0.68528,0.68508,2.09492,0.275,0.36387,0.01153,0,0.000444444,0.000444444,0.000444444
2,26.577,2.40423,3.16275,0.40364,1.35804,0.03321,3.11416,0.99494,0.92308,0.97853,0.80902,0.97575,0.84615,0.845,0.69194,0.67402,2.08942,0.27392,0.36703,0.01133,0,0.00109736,0.00109736,0.00109736
3,27.9196,2.27146,3.22518,0.39309,1.40607,0.03569,3.35987,0.99494,0.92308,0.97853,0.80902,0.97575,0.84615,0.845,0.69194,0.67402,2.08942,0.27392,0.36703,0.01133,0,0.00173378,0.00173378,0.00173378
4,29.2067,2.24515,3.17113,0.46076,1.21081,0.03243,3.91061,0.99466,0.92308,0.98567,0.80015,0.97504,0.84615,0.845,0.69202,0.65933,2.07364,0.27256,0.37934,0.01109,0,0.00192575,0.00192575,0.00192575
5,30.7532,2.22061,2.77529,0.42266,1.27219,0.03464,4.40464,0.99466,0.92308,0.98567,0.80015,0.97504,0.84615,0.845,0.69202,0.65933,2.07364,0.27256,0.37934,0.01109,0,0.001901,0.001901,0.001901
6,32.0335,2.21707,2.68543,0.38639,1.04387,0.03667,3.32198,0.99544,0.92308,0.98567,0.81575,0.97821,0.84615,0.845,0.69286,0.64547,2.05612,0.26694,0.38729,0.01094,0,0.00187625,0.00187625,0.00187625
7,33.3078,2.30895,3.52772,0.37948,1.32755,0.0364,4.51458,0.99544,0.92308,0.98567,0.81575,0.97821,0.84615,0.845,0.69286,0.64547,2.05612,0.26694,0.38729,0.01094,0,0.0018515,0.0018515,0.0018515
8,35.1566,2.26903,3.71445,0.42044,1.79841,0.03775,4.76924,0.99544,0.92308,0.98567,0.81575,0.97821,0.84615,0.845,0.69286,0.64547,2.05612,0.26694,0.38729,0.01094,0,0.00182675,0.00182675,0.00182675
9,36.873,2.28852,2.61956,0.36653,1.2818,0.03703,2.51385,0.99571,0.92308,0.97556,0.81545,0.97904,0.84615,0.845,0.7023,0.64363,2.02883,0.26166,0.40521,0.01101,0,0.001802,0.001802,0.001802
10,38.1423,2.43426,2.76186,0.36538,1.33805,0.03989,4.32317,0.99571,0.92308,0.97556,0.81545,0.97904,0.84615,0.845,0.7023,0.64363,2.02883,0.26166,0.40521,0.01101,0,0.00177725,0.00177725,0.00177725
11,39.5404,2.19584,5.08553,0.49571,1.43844,0.03881,7.6273,0.34916,0.53846,0.36744,0.06806,0.00193,0.23077,0.00053,5e-05,3.12545,9.23908,0.73453,2.63203,0.05832,0,0.0017525,0.0017525,0.0017525
12,41.0666,2.20599,8.46783,0.42719,1.00381,0.03069,11.6257,0.34916,0.53846,0.36744,0.06806,0.00193,0.23077,0.00053,5e-05,3.12545,9.23908,0.73453,2.63203,0.05832,0,0.00172775,0.00172775,0.00172775
13,43.4769,2.59727,8.35031,0.48716,1.39453,0.05082,13.7399,0.36782,0.53846,0.43059,0.07177,0.00162,0.15385,0.00089,0.00018,3.2756,9.04457,0.63233,2.14679,0.06041,0,0.001703,0.001703,0.001703
14,45.5015,2.51807,7.88621,0.37324,1.44372,0.0479,13.6017,0.36782,0.53846,0.43059,0.07177,0.00162,0.15385,0.00089,0.00018,3.2756,9.04457,0.63233,2.14679,0.06041,0,0.00167825,0.00167825,0.00167825
15,47.4827,2.04449,7.6066,0.36232,1.49363,0.02877,12.2804,0.36782,0.53846,0.43059,0.07177,0.00162,0.15385,0.00089,0.00018,3.2756,9.04457,0.63233,2.14679,0.06041,0,0.0016535,0.0016535,0.0016535
16,49.7281,2.03856,7.87703,0.53057,1.7354,0.0289,11.4684,0.20812,0.54603,0.17637,0.04887,0.04583,0.07692,0.00502,0.00054,2.53416,8.74872,0.79929,2.7142,0.04708,0,0.00162875,0.00162875,0.00162875
17,51.2645,2.01097,7.25347,0.68514,1.77317,0.03238,10.2932,0.20812,0.54603,0.17637,0.04887,0.04583,0.07692,0.00502,0.00054,2.53416,8.74872,0.79929,2.7142,0.04708,0,0.001604,0.001604,0.001604
18,52.9042,2.07552,7.35838,0.59182,1.63703,0.03167,9.49506,0.07439,0.69231,0.06728,0.0229,0.02623,0.07692,0.00573,0.00158,2.50307,8.51699,0.83613,4.40647,0.04922,0,0.00157925,0.00157925,0.00157925
19,54.3979,1.88872,7.14054,0.58057,1.98193,0.02629,9.27937,0.07439,0.69231,0.06728,0.0229,0.02623,0.07692,0.00573,0.00158,2.50307,8.51699,0.83613,4.40647,0.04922,0,0.0015545,0.0015545,0.0015545
20,55.9805,1.87949,6.84549,0.56197,1.7314,0.02546,8.02653,0.19375,0.30769,0.15291,0.04602,0.1067,0.23077,0.03126,0.00558,2.31651,8.27574,0.70268,2.77777,0.04673,0,0.00152975,0.00152975,0.00152975
